TICKER,COMPANY_NAME,DISCLOSURE_TYPE,IR_URL,NOTES,UPDATED_AT
2678,アスクル,c,https://www.askul.co.jp/corp/investor/,月次販売速報（BtoB・BtoC）を毎月開示,2026-03-11
2702,日本マクドナルドホールディングス,c,https://www.nikkei.com/nkd/company/kigyo/?scode=2702,月次既存店売上高・全店売上高を毎月開示,2026-03-11
3649,ファインデックス,c,https://findex.co.jp/ir/,医療システム会社。月次開示有無要確認,2026-03-11
3691,デジタルプラス,c,https://digital-plus.co.jp/ir,処理不要（structure.jsonなし・月次開示確認不可）,2026-03-14
4177,i-plug,c,https://i-plug.co.jp/ir/,新卒ダイレクトリクルーティング。月次開示有無要確認,2026-03-11
4523,エーザイ,c,https://www.eisai.co.jp/ir/,処理不要（structure.jsonなし・月次開示確認不可）,2026-03-14
4666,パーク24,c,https://www.park24.co.jp/ir/financial/monthly.html,月次業績状況（稼働台数・売上）を毎月開示,2026-03-11
4680,ラウンドワン,c,https://www.round1.co.jp/company/ir/sales.html,月次売上げ状況を毎月開示,2026-03-11
4732,ユー・エス・エス,c,https://www.ussnet.co.jp/ir/library/monthly/index.html,月次データ（中古車オークション台数・成約台数）を毎月開示,2026-03-11
4889,レナサイエンス,c,https://www.renascience.co.jp/ir/,処理不要（structure.jsonなし・月次開示確認不可）,2026-03-14
4890,坪田ラボ,c,https://tsubota-lab.com/ir/,処理不要（structure.jsonなし・月次開示確認不可）,2026-03-14
5589,オートサーバー,c,https://www.autoserver.co.jp/ir/,中古車販売。月次開示有無要確認,2026-03-11
5888,DAIWA CYCLE,c,https://www.daiwa-cycle.co.jp/ir/,自転車専門チェーン。月次開示有無要確認,2026-03-11
6071,IBJ,c,https://www.ibjapan.jp/ir,婚活サービス。月次成婚数等開示有無要確認,2026-03-11
6073,アサンテ,c,https://www.asante.co.jp/ir/,シロアリ駆除・住環境サービス。月次開示有無要確認,2026-03-11
6146,ディスコ,c,https://www.disco.co.jp/jp/ir/,処理不要（structure.jsonなし・月次開示確認不可）,2026-03-14
6425,ユニバーサルエンターテインメント,c,https://www.universal-777.co.jp/ir/library/,処理不要（structure.jsonなし・月次開示確認不可）,2026-03-14
6535,アイモバイル,c,https://www.i-mobile.co.jp/ir/index.html,処理不要（structure.jsonなし・月次開示確認不可）,2026-03-14
6627,テラプローブ,c,https://www.teraprobe.com/ir/,半導体テスト。月次開示有無要確認,2026-03-11
7157,ライフネット生命保険,c,https://ir.lifenet-seimei.co.jp/ja/ir/financial/monthly.html,月次業績速報（新契約件数・保有契約件数）を毎月開示,2026-03-11
7162,アストマックス,c,https://www.astmax.co.jp/ir/,エネルギー・資産運用。月次開示有無要確認,2026-03-11
7175,今村証券,c,,処理不要（structure.jsonなし・月次開示確認不可）,2026-03-14
7177,GMOフィナンシャルホールディングス,c,https://www.gmofh.com/ir/monthly_report.html,月次開示情報（信用取引残高・FX預り証拠金残高・預り資産）を毎月開示,2026-03-11
7198,SBIアルヒ,c,https://www.sbiaruhi-group.jp/english/ir,処理不要（structure.jsonなし・月次開示確認不可）,2026-03-14
7326,SBIインシュアランスグループ,c,https://www.sbiig.co.jp/ir/,処理不要（structure.jsonなし・月次開示確認不可）,2026-03-14
7455,パリミキホールディングス,c,https://www.paris-miki.com/hd/investor/,眼鏡小売。月次開示有無要確認,2026-03-11
7545,西松屋チェーン,c,https://www.24028.jp/ir/,子供服専門チェーン。月次売上速報を毎月開示,2026-03-11
8255,アクシアル リテイリング,c,https://www.axial-r.com/ir,食品スーパー（新潟）。月次業績推移を開示,2026-03-11
8613,丸三証券,c,https://www.marusan-sec.co.jp/ir/,処理不要（structure.jsonなし・月次開示確認不可）,2026-03-14
8614,東洋証券,c,https://www.toyo-sec.co.jp/ir/,処理不要（structure.jsonなし・月次開示確認不可）,2026-03-14
