supplier_code,supplier_name,customer_code,customer_name,revenue_pct,source_year,matched_stock_name,match_score,source,relationship
1407,株式会社ウエストホールディングス,NONLISTED,ＳＭＦＬみらいパートナーズ株式会社,17.7,2025,三井住友FLグループ子会社,0,edinet_yuho_2025,
1407,株式会社ウエストホールディングス,3286,合同会社第一トラスト太陽光発電,16.5,2025,トラストホールディングス,90,edinet_yuho_2025,
1444,株式会社ニッソウ,NONLISTED,株式会社リプライス,10.5,2025,オープンハウスG子会社,0,edinet_yuho_2025,
157A,グリーンモンスター株式会社,NONLISTED,株式会社ロンバード,62.6,2025,非上場,0,edinet_yuho_2025,
1663,Ｋ＆Ｏエナジーグループ株式会社,NONLISTED,日本ファシリティ・ソリューション㈱,11.1,2025,非上場,0,edinet_yuho_2025,
1663,Ｋ＆Ｏエナジーグループ株式会社,5019,出光興産㈱,10.8,2025,出光興産,100,edinet_yuho_2025,
1783,株式会社ｆａｎｔａｓｉｓｔａ,1925,大和ハウス工業株式会社,52.0,2025,大和ハウス工業,100,edinet_yuho_2025,
2286,林兼産業株式会社,1333,マルハニチロ株式会社,11.5,2025,マルハニチロ,100,edinet_yuho_2025,
2286,林兼産業株式会社,NONLISTED,株式会社兵殖,11.0,2025,非上場水産,0,edinet_yuho_2025,
2303,株式会社ドーン,441A,株式会社STNet,14.0,2025,ＮＥ,90,edinet_yuho_2025,
2315,株式会社ＣＡＩＣＡ ＤＩＧＩＴＡＬ,4755,楽天グループ株式会社,16.2,2025,楽天グループ,100,edinet_yuho_2025,
2337,いちご株式会社,4378,合同会社KCR1,31.1,2025,ＣＩＮＣ,90,edinet_yuho_2025,
2337,いちご株式会社,8929,株式会社青山財産ネットワークス,13.4,2025,青山財産ネットワークス,100,edinet_yuho_2025,
2337,いちご株式会社,NONLISTED,アルネア１合同会社,30.7,2025,SPV,0,edinet_yuho_2025,
2337,いちご株式会社,NONLISTED,合同会社ISTレジデンス３,10.9,2025,SPV,0,edinet_yuho_2025,
2337,いちご株式会社,3539,JMインダス５合同会社,28.9,2025,ＪＭホールディングス,90,edinet_yuho_2025,
2337,いちご株式会社,NONLISTED,合同会社ISTレジデンス４,12.5,2025,SPV,0,edinet_yuho_2025,
2337,いちご株式会社,NONLISTED,合同会社ISTレジデンス５,13.9,2025,SPV,0,edinet_yuho_2025,
